enrollment_id,lastlog-firstlog,study days,early events,mid events,late events
1143,1,3,0,25,33
1144,24,11,64,51,126
1147,21,9,121,149,224
1150,28,11,54,62,147
1153,0,1,0,0,3
1154,19,3,64,0,5
1162,1,3,0,0,26
1163,28,14,32,20,33
1164,0,1,0,0,4
1167,27,11,45,39,123
1168,16,3,4,10,12
1169,27,10,25,28,139
1170,15,8,0,123,44
1172,22,6,40,3,49
1174,20,8,2,16,68
1176,0,1,0,0,0
1177,0,1,0,0,0
1181,0,2,0,0,17
1182,26,21,69,71,57
1183,25,7,108,4,2
1187,0,1,0,0,38
1190,23,3,4,16,7
1192,24,16,34,46,50
1195,20,8,7,39,22
1196,28,17,53,27,28
1199,0,1,0,0,0
1203,27,10,34,0,73
1204,0,1,0,0,1
1206,11,8,73,77,0
1212,25,16,54,6,85
1213,0,1,0,0,27
1222,11,3,3,9,2
1228,0,1,0,0,25
1230,23,5,41,34,43
1240,17,4,17,0,9
1241,19,5,6,10,32
1244,0,1,0,0,10
1248,24,9,40,51,83
1250,5,4,0,0,18
1252,26,21,163,187,234
1253,12,8,22,24,27
1257,26,12,34,25,35
1258,9,5,0,0,167
1260,26,10,280,201,180
1263,2,3,0,0,124
1264,26,15,44,137,65
1271,0,1,0,0,6
1273,0,1,0,0,0
1274,0,1,0,0,1
1280,14,6,8,37,20
1281,28,16,58,33,90
1283,2,2,0,0,8
1285,10,4,0,41,68
1287,16,13,0,15,182
1289,28,12,130,224,325
1290,24,10,58,25,26
1292,14,16,0,108,108
1295,0,1,0,0,0
1296,12,4,0,26,12
1309,27,11,49,41,243
1310,23,8,23,14,48
1311,10,7,0,0,266
1316,17,11,1,76,73
1323,0,1,0,0,1
1331,13,11,0,49,53
1337,21,10,20,10,84
1341,23,4,10,10,24
1342,0,1,0,0,4
1344,14,8,0,49,13
1348,0,1,0,0,0
1350,19,9,56,48,7
1351,15,8,46,39,94
1352,26,8,31,41,66
1353,9,5,0,0,88
1357,25,18,15,67,131
1363,29,12,17,40,28
1364,25,12,23,3,90
1366,10,6,0,1,85
1367,27,5,2,0,10
1371,23,7,3,17,102
1376,23,15,9,35,24
1377,27,20,58,166,207
1379,18,11,0,34,73
1380,8,3,0,0,18
1386,19,6,67,30,22
1389,8,7,0,33,42
1392,19,12,41,68,19
1393,23,6,8,27,6
1397,24,13,32,21,72
1398,9,3,0,17,2
1401,16,8,9,55,25
1402,0,1,0,0,2
1405,23,15,49,89,26
1406,28,16,169,163,546
1409,12,5,0,59,122
1410,7,5,0,0,146
1412,16,4,0,2,1
1414,13,4,0,27,146
1417,22,5,32,13,7
1418,0,1,0,0,0
1423,29,22,140,155,213
1425,6,3,0,0,33
1427,21,7,12,25,60
1429,15,9,0,373,318
1430,10,5,0,0,150
1431,27,6,0,0,0
1433,25,11,35,15,54
1437,20,13,36,42,74
1438,9,4,0,0,40
1442,10,6,0,0,94
1443,11,4,0,85,7
1446,22,11,72,92,60
1451,26,12,47,3,91
1453,21,2,1,0,16
1455,21,8,72,13,239
1456,1,3,0,0,6
1457,8,5,0,0,97
1458,24,9,8,6,19
1463,27,10,42,1,63
1465,0,1,0,0,2
1466,18,11,44,10,41
1469,21,5,25,14,31
1473,19,15,4,190,77
1474,0,2,0,0,37
1477,22,11,14,23,44
1478,28,9,30,0,91
1481,10,6,0,0,181
1484,17,6,0,41,19
1485,25,11,33,47,46
1486,10,3,0,13,6
1488,0,1,0,0,0
1489,18,3,15,0,30
1490,15,6,41,18,20
1493,26,10,12,29,40
1497,26,14,33,7,27
1500,19,6,39,40,24
1501,28,10,30,6,138
1506,15,8,9,40,15
1516,8,7,0,0,70
1518,21,4,4,0,13
1519,28,20,38,40,77
1520,27,14,28,31,212
1521,28,18,81,198,245
1525,12,8,0,37,96
1535,3,2,0,0,38
1536,0,1,0,0,0
1541,0,1,0,2,0
1542,14,3,51,31,58
1545,6,4,0,0,81
1548,17,14,0,110,94
1549,0,1,0,0,0
1550,7,9,0,0,119
1557,16,5,0,45,90
1558,21,6,22,8,13
1562,0,1,0,0,1
1564,27,13,29,33,42
1567,18,3,21,0,4
1569,28,10,23,31,91
1572,8,4,0,0,58
1575,25,9,8,16,128
1578,28,13,27,46,52
1579,6,5,0,22,16
1582,26,7,3,56,15
1585,24,9,14,39,23
1587,11,8,0,9,6
1588,8,6,0,0,62
1592,20,6,13,0,52
1601,0,2,0,0,13
1604,15,14,0,67,84
1606,25,11,16,22,65
1607,0,1,0,0,3
1608,25,13,49,28,32
1614,16,4,6,0,3
1617,7,2,0,0,7
1620,24,9,63,26,35
1621,10,2,0,62,177
1628,24,13,26,7,41
1629,1,2,0,0,11
1630,21,9,147,71,3
1632,14,6,0,6,77
1633,28,23,29,20,110
1634,17,13,4,49,66
1639,2,3,0,9,4
1645,0,1,0,0,0
1647,9,7,0,0,155
1648,5,5,0,0,215
1649,13,10,0,47,59
1650,0,1,0,0,3
1653,0,1,0,0,4
1654,8,4,0,0,18
1663,17,5,24,0,7
1668,6,2,0,37,0
1672,0,1,0,0,0
1673,12,8,0,6,67
1676,20,4,6,0,1
1677,15,11,0,49,277
1678,15,5,0,46,4
1679,26,10,13,16,8
1681,23,6,27,0,69
1685,0,1,0,0,0
1687,23,6,55,1,20
1690,7,4,0,0,66
1692,0,1,0,0,0
1698,21,6,1,7,15
1700,3,3,0,5,1
1701,2,3,0,0,47
1703,0,1,0,0,0
1705,14,11,0,111,150
1708,15,5,0,136,97
1711,2,2,0,7,54
1713,19,12,0,111,2
1719,17,8,54,2,11
1720,27,7,3,0,115
1724,0,1,0,0,0
1725,0,1,0,0,2
1730,4,2,0,13,1
1731,12,7,0,161,23
1734,6,5,0,0,66
1735,25,11,52,7,4
1736,28,14,9,28,29
1738,6,5,0,48,7
1740,0,1,0,0,4
1745,9,2,0,20,75
1747,8,9,0,5,189
1752,14,4,0,80,224
1753,24,9,13,29,46
1756,15,10,96,12,0
1757,19,5,35,0,59
1758,24,8,17,3,18
1767,27,8,61,0,50
1769,23,12,37,30,86
1770,0,2,0,0,8
1772,2,2,0,0,6
1779,8,4,0,0,67
1780,27,14,39,23,32
1782,28,11,15,38,77
1783,16,9,0,45,48
1788,21,6,27,64,45
1789,22,9,7,13,36
1793,29,5,3,0,19
1795,9,8,0,0,96
1799,5,4,0,0,76
1800,21,13,48,63,97
1801,17,3,4,0,12
1803,14,3,0,0,4
1805,0,2,0,0,34
1806,0,1,0,0,2
1811,24,3,11,0,4
1812,1,3,0,0,27
1815,24,6,6,75,5
1816,0,1,0,0,0
1818,24,4,24,10,32
1819,7,5,0,0,41
1821,14,2,0,3,2
1823,6,2,0,5,3
1826,24,11,57,43,49
1827,21,13,47,141,138
1828,2,2,0,0,5
1829,0,1,0,0,57
1830,24,3,2,4,4
1831,0,1,0,0,0
1832,13,4,0,4,19
1833,0,1,0,0,2
1838,0,1,0,0,7
1844,17,3,17,0,11
1845,27,11,7,2,5
1849,0,1,0,0,0
1856,25,19,100,110,117
1865,4,5,0,0,34
1867,0,1,0,0,2
1870,0,1,0,0,3
1872,1,2,0,0,5
1873,0,2,0,0,22
1874,0,1,0,0,0
1875,22,2,0,0,3
1876,0,1,0,0,0
1878,16,3,15,9,33
1882,0,1,0,0,2
1886,0,1,0,0,7
1888,21,2,14,0,3
1891,28,10,46,0,9
1893,0,1,0,0,7
1894,28,14,87,108,75
1895,0,1,0,0,0
1902,1,2,0,0,44
1903,28,14,87,94,71
1906,0,1,0,0,4
1909,0,1,0,0,0
1910,22,7,47,51,94
1913,10,3,0,0,8
1915,0,1,0,0,0
1917,0,1,0,0,0
1922,15,8,0,83,16
1926,25,2,0,0,0
1928,6,3,0,0,25
1929,22,2,3,0,6
1931,26,15,194,83,73
1933,26,16,74,88,36
1934,0,1,0,0,11
1936,17,2,23,0,8
1938,0,1,0,0,14
1939,7,2,0,3,2
1941,0,1,0,0,3
1945,26,5,10,0,0
1947,0,1,0,0,0
1948,0,1,0,0,13
1949,0,1,0,0,0
1951,26,6,34,13,19
1953,26,11,0,0,67
1966,6,4,0,0,50
1967,28,11,125,36,26
1968,14,7,0,0,25
1970,24,11,290,289,65
1971,23,4,0,0,3
1973,16,8,0,0,9
1975,0,2,0,0,61
1977,0,2,0,0,16
1979,18,5,0,0,36
1980,29,7,83,9,2
1981,29,30,93,36,78
1986,6,2,0,0,31
1989,10,6,0,0,39
1995,12,4,0,0,24
1996,0,1,0,0,5
1997,5,4,0,0,38
2001,11,9,0,0,68
2004,21,9,0,0,17
2007,28,13,64,12,105
2009,27,15,0,0,34
2010,2,3,0,0,58
2023,18,3,0,0,1
2025,0,1,0,0,2
2028,19,7,0,0,26
2034,18,2,0,0,33
2037,20,13,0,0,30
2039,0,1,0,0,2
2043,18,16,0,0,79
2045,0,2,0,0,51
2047,26,9,0,0,19
2048,24,2,0,0,1
2049,27,12,0,0,75
2050,0,1,0,0,8
2052,27,9,21,0,18
2059,26,13,0,0,67
2064,2,2,0,0,28
2065,27,14,0,0,45
2067,24,6,0,0,2
2069,6,3,0,0,64
2070,4,6,0,0,313
2072,26,19,424,146,157
2074,14,6,0,0,10
2079,2,3,0,0,63
2081,28,13,170,136,188
2086,28,11,7,0,93
2089,23,4,0,0,7
2093,27,21,0,0,79
2094,19,9,0,0,18
2095,29,10,20,9,87
2097,13,7,0,0,46
2098,0,2,0,0,32
2100,27,14,84,78,19
2102,0,1,0,0,0
2103,0,1,0,0,0
2104,29,10,127,315,33
2105,2,3,0,0,29
2107,0,2,0,0,64
2109,27,12,102,0,257
2110,8,2,0,0,3
2114,28,20,209,155,86
2117,19,4,0,0,2
2120,19,10,0,0,23
2126,23,6,0,0,8
2131,6,6,0,0,95
2134,17,3,0,10,44
2135,26,7,0,0,35
2140,24,9,0,0,51
2144,24,5,0,0,9
2148,26,12,0,0,43
2153,26,8,55,40,11
2156,25,12,0,0,14
2162,3,4,0,0,47
2166,0,1,0,0,0
2168,20,5,0,0,29
2169,24,5,0,0,27
2170,13,4,0,0,24
2173,7,8,0,0,74
2176,26,19,0,0,30
2177,0,1,0,0,6
2178,27,10,125,102,143
2179,24,2,15,0,14
2184,14,4,0,0,3
2187,26,10,0,0,26
2188,0,1,0,0,34
2189,28,24,123,247,65
2190,0,1,0,0,0
2192,7,5,0,0,35
2194,0,2,0,0,11
2195,2,3,0,0,134
2197,0,1,0,0,2
2198,0,1,0,0,9
2199,2,3,0,0,43
2201,28,26,84,66,85
2203,26,23,105,76,39
2210,27,10,0,0,36
2213,29,26,103,87,83
2214,22,6,0,0,5
2215,21,7,0,0,10
2217,3,4,0,0,22
2219,1,2,0,0,21
2220,24,9,0,0,41
2222,26,13,0,0,53
2224,19,4,0,0,10
2225,24,9,0,0,20
2228,25,8,0,0,34
2232,15,6,0,0,41
2233,0,1,0,0,4
2234,0,1,0,0,11
2235,22,10,0,0,25
2240,0,1,0,0,10
2241,29,22,346,157,398
2245,9,6,0,0,125
2246,25,6,0,0,27
2249,0,1,0,0,7
2253,4,4,0,0,66
2255,9,3,0,0,23
2257,26,7,0,0,11
2258,25,2,3,0,7
2260,22,4,0,0,27
2261,24,9,0,0,25
2264,24,7,0,0,19
2265,27,14,115,45,13
2271,5,6,0,0,24
2273,9,3,0,0,28
2274,0,1,0,0,0
2279,26,9,0,0,29
2281,4,4,0,0,82
2283,20,5,0,0,8
2290,24,4,0,0,23
2295,1,3,0,0,50
2299,0,1,0,0,0
2300,26,5,0,0,35
2302,24,5,0,0,1
2304,11,4,0,0,30
2307,18,2,0,0,0
2308,0,1,0,0,37
2309,27,14,125,24,9
2312,0,1,0,0,20
2313,0,1,0,0,3
2317,3,3,0,0,60
2318,1,2,0,0,3
2321,0,1,0,0,5
2327,0,1,0,0,0
2333,28,14,0,0,24
2335,0,1,0,0,39
2339,25,13,0,0,28
2341,0,1,0,0,0
2342,0,1,0,0,41
2344,1,3,0,0,21
2347,0,1,0,0,47
2351,1,2,0,0,25
2354,0,1,0,0,9
2355,3,4,0,0,85
2358,2,3,0,0,39
2361,0,1,0,0,0
2365,0,1,0,0,5
2370,2,2,0,0,2
2375,23,8,41,36,2
2385,28,15,61,14,133
2394,0,1,0,0,0
2397,2,3,0,0,31
2399,7,4,0,0,45
2401,25,6,0,0,102
2402,0,1,0,0,5
2404,5,2,0,0,7
2407,11,6,0,11,30
2411,26,7,0,0,20
2416,20,6,29,1,1
2425,0,1,0,0,5
2428,0,1,0,0,2
2430,0,1,0,0,2
2432,27,13,0,0,46
2434,12,3,0,0,7
2439,27,15,0,0,76
2448,13,11,0,0,99
2449,11,2,0,2,3
2458,29,8,6,57,1
2459,23,13,0,0,55
2464,24,4,0,0,11
2466,12,4,0,0,36
2470,27,18,0,0,58
2472,28,17,99,12,56
2481,27,6,0,0,31
2482,13,6,0,0,38
2484,13,8,0,0,41
2487,0,2,0,0,8
2488,12,3,0,0,8
2492,23,2,0,0,7
2495,0,1,0,0,2
2496,25,14,0,0,53
2501,22,4,0,0,9
2503,27,15,0,0,31
2504,9,2,0,0,14
2505,24,2,3,0,0
2506,0,1,0,0,50
2507,25,5,0,0,6
2508,27,15,0,0,46
2509,26,5,0,0,27
2516,24,16,90,69,46
2518,26,12,110,9,0
2521,28,27,0,0,108
2522,8,3,0,0,3
2536,25,7,0,0,60
2537,0,1,0,0,0
2541,16,3,0,58,28
2542,0,1,0,0,0
2544,21,6,0,0,31
2546,26,3,0,0,9
2548,11,2,0,0,13
2549,0,1,0,0,17
2553,0,2,0,0,6
2560,29,19,111,45,36
2565,20,6,0,0,41
2566,28,15,0,0,39
2569,28,21,0,0,32
2570,19,4,0,0,27
2577,10,5,0,8,6
2578,9,6,0,0,12
2579,7,8,0,0,450
2582,0,1,0,0,1
2583,28,16,0,0,41
2587,23,5,0,0,19
2588,22,6,0,0,40
2589,25,4,0,0,13
2595,23,5,0,0,1
2596,26,7,0,0,18
2597,26,6,0,0,30
2598,27,11,0,0,59
2599,23,3,0,0,9
2602,4,4,0,0,47
2606,29,17,113,19,64
2609,0,1,0,0,4
2610,14,8,0,97,2
2611,26,5,0,0,25
2612,29,8,92,1,117
2613,21,7,0,0,12
2615,17,7,0,20,476
2620,0,1,0,0,0
2621,0,1,0,0,21
2622,25,10,0,0,16
2623,20,4,0,0,55
2624,28,14,0,0,17
2627,20,12,0,0,48
2629,27,5,22,33,2
2635,25,16,129,244,172
2636,21,11,150,89,274
2638,8,3,0,0,22
2639,20,5,32,0,44
2640,22,2,0,0,28
2642,24,14,275,2,80
2643,14,14,0,198,455
2647,0,1,0,0,10
2650,0,1,0,0,14
2651,27,13,0,0,101
2652,26,13,159,45,36
2653,0,1,0,0,8
2656,0,1,0,0,7
2657,3,3,0,0,16
2659,17,3,0,0,50
2662,17,2,0,0,3
2663,0,1,0,0,3
2666,25,8,0,0,89
2667,12,5,0,0,22
2677,24,11,76,160,23
2679,26,9,0,0,98
2682,19,9,0,0,19
2683,25,7,0,0,24
2684,24,5,11,30,3
2688,19,5,0,0,25
2689,0,1,0,0,0
2690,24,5,0,0,11
2693,26,11,0,0,35
2694,25,3,0,0,45
2696,17,3,0,0,8
2702,27,8,62,40,18
2703,23,10,167,3,7
2706,28,19,102,69,119
2707,0,1,0,0,6
2711,1,2,0,0,18
2712,7,3,0,0,36
2718,0,1,0,0,33
2720,12,5,0,0,30
2721,26,19,0,0,28
2722,0,1,0,0,0
2724,24,5,0,0,47
2725,8,2,0,0,39
2728,25,14,0,0,20
2730,0,1,0,0,0
2734,24,6,0,0,14
2741,24,12,0,0,32
2742,0,1,0,0,3
2743,26,6,0,0,23
2744,23,10,0,0,8
2745,25,4,0,0,7
2747,28,15,140,23,69
2748,26,12,0,0,37
2749,8,3,0,0,32
2750,28,11,0,0,29
2751,28,18,0,0,108
2752,15,5,0,0,0
2756,27,13,0,0,82
2760,25,9,0,0,13
2761,19,6,1,6,30
2764,0,1,0,0,20
2767,28,10,0,0,38
2768,13,5,0,0,37
2774,4,4,0,0,51
2775,0,1,0,0,3
2776,19,4,0,0,48
2777,22,6,0,0,7
2783,0,1,0,0,0
2786,12,3,11,0,7
2792,25,13,0,0,28
2794,0,1,0,0,4
2798,26,10,0,0,37
2799,0,1,0,0,1
2800,1,3,0,0,59
2809,6,4,0,0,12
2811,28,12,25,2,7
2815,9,4,0,0,24
2820,23,9,0,0,38
2821,23,7,0,0,10
2824,0,1,0,0,0
2833,0,1,0,0,7
2835,0,1,0,0,0
2836,25,6,0,0,4
2838,0,1,0,0,0
2842,26,8,0,0,27
2846,25,3,0,0,18
2849,26,10,0,0,68
2850,9,2,0,0,0
2854,26,6,0,0,6
2862,26,14,0,0,28
2868,1,2,0,0,43
2876,22,13,0,0,26
2883,29,23,59,51,66
2889,26,13,0,0,10
2893,16,3,0,0,41
2894,0,1,0,0,2
2899,27,15,0,0,86
2902,1,2,0,0,0
2910,23,7,17,29,2
2912,12,6,0,0,24
2913,9,5,0,0,51
2915,23,12,34,86,38
2916,27,22,0,0,72
2922,0,1,0,0,16
2923,27,18,107,112,81
2927,25,12,0,0,30
2932,0,1,0,0,5
2934,14,8,0,0,25
2935,0,1,0,0,4
2937,25,8,0,0,5
2939,0,1,0,0,5
2941,21,7,0,0,56
2942,20,7,0,0,12
2943,23,10,0,0,25
2945,20,5,0,0,13
2946,17,2,0,0,21
2948,25,8,0,0,20
2949,28,14,21,64,12
2951,28,14,0,0,38
2952,0,1,0,0,0
2954,6,2,0,0,0
2956,0,1,0,0,3
2964,26,4,3,0,1
2967,24,9,0,0,1
2970,5,3,0,0,34
2975,0,1,0,0,9
2979,27,18,173,148,74
2980,27,4,31,57,13
2982,22,9,0,0,14
2985,29,16,0,0,19
2986,19,6,0,0,31
2990,22,8,0,0,37
2991,1,2,0,0,29
2994,23,7,0,0,27
2996,21,6,0,0,17
2998,25,2,12,0,3
3001,27,11,0,0,1
3002,5,5,0,0,70
3006,3,3,0,0,51
3007,29,13,316,176,26
3014,27,16,0,0,34
3016,22,4,0,0,7
3017,24,14,0,0,29
3019,22,11,177,86,108
3020,12,9,0,65,64
3021,3,2,0,0,2
3022,26,5,0,0,42
