enrollment_id,navigate,access,problem,page_close,video,discussion,wiki,server,browser
94,29.0,52.0,8.0,42.0,7.0,7.0,2.0,91.0,56.0
96,10.0,80.0,34.0,38.0,28.0,1.0,0.0,67.0,124.0
98,46.0,74.0,7.0,39.0,13.0,13.0,2.0,135.0,59.0
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,17.0,233.0,52.0,12.0,10.0,3.0,0.0,220.0,107.0
107,19.0,67.0,31.0,5.0,0.0,23.0,0.0,99.0,46.0
109,5.0,14.0,0.0,10.0,6.0,0.0,0.0,19.0,16.0
112,50.0,248.0,58.0,17.0,10.0,25.0,2.0,279.0,131.0
120,32.0,1152.0,58.0,88.0,54.0,42.0,3.0,1224.0,205.0
121,27.0,97.0,32.0,8.0,4.0,4.0,2.0,121.0,53.0
130,6.0,47.0,12.0,20.0,8.0,1.0,1.0,56.0,39.0
131,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
132,4.0,3.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0
133,4.0,58.0,14.0,51.0,34.0,0.0,0.0,65.0,96.0
135,25.0,78.0,39.0,52.0,17.0,16.0,1.0,130.0,98.0
138,29.0,80.0,29.0,55.0,30.0,28.0,5.0,137.0,119.0
140,4.0,34.0,0.0,1.0,0.0,0.0,0.0,36.0,3.0
141,36.0,105.0,101.0,42.0,31.0,22.0,0.0,116.0,221.0
144,36.0,165.0,64.0,34.0,81.0,13.0,1.0,107.0,287.0
146,39.0,128.0,18.0,56.0,32.0,5.0,4.0,175.0,107.0
148,50.0,234.0,53.0,92.0,39.0,54.0,1.0,308.0,215.0
149,7.0,4.0,8.0,0.0,0.0,0.0,0.0,13.0,6.0
150,4.0,16.0,26.0,7.0,0.0,0.0,0.0,25.0,28.0
152,20.0,136.0,47.0,51.0,27.0,24.0,2.0,173.0,134.0
155,30.0,95.0,42.0,26.0,3.0,22.0,1.0,135.0,84.0
156,4.0,3.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0
157,10.0,38.0,58.0,18.0,0.0,0.0,0.0,48.0,76.0
159,40.0,252.0,54.0,130.0,61.0,20.0,1.0,298.0,260.0
160,3.0,35.0,4.0,22.0,13.0,0.0,0.0,38.0,39.0
173,69.0,176.0,52.0,119.0,57.0,7.0,5.0,249.0,236.0
175,9.0,10.0,0.0,6.0,4.0,0.0,1.0,20.0,10.0
182,42.0,110.0,16.0,72.0,23.0,45.0,13.0,214.0,107.0
186,11.0,127.0,7.0,2.0,10.0,4.0,2.0,146.0,17.0
189,55.0,200.0,42.0,142.0,68.0,23.0,4.0,275.0,259.0
190,21.0,68.0,31.0,57.0,41.0,39.0,4.0,139.0,122.0
192,70.0,247.0,28.0,58.0,60.0,0.0,0.0,178.0,285.0
196,18.0,51.0,54.0,18.0,1.0,1.0,1.0,58.0,86.0
198,19.0,101.0,14.0,79.0,42.0,0.0,0.0,121.0,134.0
199,57.0,307.0,216.0,114.0,73.0,239.0,8.0,481.0,533.0
200,4.0,8.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0
201,13.0,90.0,38.0,53.0,21.0,3.0,0.0,104.0,114.0
204,13.0,40.0,10.0,3.0,3.0,11.0,1.0,69.0,12.0
209,13.0,59.0,27.0,49.0,17.0,0.0,0.0,80.0,85.0
212,3.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0
216,20.0,42.0,5.0,32.0,8.0,4.0,2.0,68.0,45.0
221,30.0,72.0,24.0,49.0,23.0,3.0,1.0,102.0,100.0
226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
235,26.0,111.0,8.0,10.0,1.0,3.0,6.0,135.0,30.0
239,33.0,94.0,23.0,19.0,4.0,2.0,0.0,133.0,42.0
240,21.0,233.0,25.0,37.0,42.0,279.0,0.0,539.0,98.0
241,27.0,43.0,8.0,23.0,12.0,2.0,2.0,75.0,42.0
244,16.0,97.0,30.0,68.0,31.0,13.0,0.0,114.0,141.0
245,20.0,8.0,21.0,6.0,0.0,0.0,0.0,29.0,26.0
247,17.0,62.0,12.0,6.0,4.0,0.0,0.0,78.0,23.0
249,4.0,27.0,6.0,22.0,18.0,0.0,0.0,33.0,44.0
251,20.0,80.0,51.0,6.0,1.0,8.0,2.0,114.0,54.0
256,2.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0
262,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
264,6.0,20.0,2.0,1.0,3.0,1.0,1.0,27.0,7.0
265,14.0,85.0,8.0,3.0,14.0,0.0,0.0,73.0,51.0
266,62.0,211.0,64.0,15.0,15.0,18.0,6.0,221.0,170.0
268,47.0,160.0,66.0,8.0,11.0,2.0,0.0,186.0,108.0
269,38.0,99.0,18.0,60.0,17.0,4.0,1.0,141.0,96.0
270,11.0,61.0,24.0,0.0,0.0,24.0,0.0,100.0,20.0
272,19.0,25.0,0.0,9.0,0.0,111.0,0.0,145.0,19.0
277,23.0,75.0,12.0,3.0,1.0,15.0,2.0,111.0,20.0
279,27.0,131.0,10.0,84.0,48.0,2.0,4.0,153.0,153.0
281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
282,15.0,51.0,17.0,39.0,23.0,2.0,1.0,72.0,76.0
284,78.0,118.0,6.0,37.0,55.0,326.0,0.0,478.0,142.0
293,6.0,36.0,4.0,21.0,11.0,3.0,0.0,42.0,39.0
295,31.0,222.0,47.0,130.0,46.0,40.0,0.0,255.0,261.0
297,24.0,91.0,20.0,58.0,36.0,8.0,0.0,117.0,120.0
302,38.0,165.0,23.0,40.0,10.0,4.0,3.0,209.0,74.0
304,16.0,127.0,22.0,76.0,36.0,0.0,0.0,140.0,137.0
307,13.0,78.0,9.0,51.0,25.0,1.0,0.0,93.0,84.0
309,55.0,154.0,28.0,77.0,46.0,6.0,11.0,230.0,147.0
311,29.0,145.0,21.0,57.0,5.0,14.0,3.0,190.0,84.0
316,3.0,25.0,4.0,19.0,0.0,0.0,0.0,26.0,25.0
319,32.0,67.0,14.0,12.0,6.0,0.0,0.0,98.0,33.0
322,20.0,71.0,25.0,58.0,8.0,14.0,2.0,112.0,86.0
323,60.0,155.0,47.0,81.0,31.0,25.0,2.0,230.0,171.0
324,62.0,71.0,4.0,48.0,27.0,40.0,39.0,212.0,79.0
325,10.0,18.0,12.0,14.0,1.0,0.0,0.0,31.0,24.0
327,40.0,87.0,64.0,64.0,38.0,9.0,1.0,125.0,178.0
329,25.0,104.0,87.0,13.0,35.0,9.0,0.0,107.0,166.0
332,12.0,48.0,3.0,35.0,11.0,3.0,0.0,59.0,53.0
339,23.0,86.0,47.0,1.0,5.0,5.0,1.0,105.0,63.0
340,8.0,38.0,0.0,5.0,3.0,0.0,0.0,45.0,9.0
341,47.0,120.0,58.0,45.0,24.0,11.0,3.0,165.0,143.0
344,8.0,159.0,57.0,110.0,41.0,31.0,2.0,185.0,223.0
346,11.0,139.0,33.0,75.0,30.0,8.0,0.0,145.0,151.0
349,17.0,88.0,55.0,49.0,23.0,0.0,0.0,77.0,155.0
351,23.0,105.0,22.0,79.0,38.0,12.0,1.0,140.0,140.0
352,69.0,197.0,80.0,96.0,58.0,184.0,6.0,422.0,268.0
355,9.0,45.0,24.0,27.0,12.0,0.0,0.0,57.0,60.0
357,48.0,62.0,0.0,42.0,20.0,0.0,1.0,106.0,67.0
358,7.0,3.0,0.0,2.0,0.0,1.0,0.0,11.0,2.0
360,2.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,4.0
366,7.0,70.0,16.0,6.0,3.0,0.0,1.0,80.0,23.0
367,8.0,6.0,0.0,4.0,1.0,0.0,1.0,14.0,6.0
370,3.0,4.0,0.0,4.0,4.0,0.0,0.0,7.0,8.0
371,33.0,103.0,63.0,45.0,8.0,4.0,2.0,122.0,136.0
373,49.0,210.0,134.0,75.0,3.0,56.0,3.0,271.0,259.0
377,20.0,65.0,26.0,11.0,4.0,19.0,33.0,128.0,50.0
382,20.0,128.0,69.0,24.0,11.0,6.0,2.0,140.0,120.0
386,8.0,23.0,13.0,18.0,7.0,0.0,0.0,31.0,38.0
387,37.0,68.0,36.0,41.0,23.0,3.0,0.0,96.0,112.0
394,17.0,93.0,47.0,26.0,14.0,2.0,1.0,104.0,96.0
396,34.0,82.0,32.0,48.0,28.0,18.0,3.0,130.0,115.0
398,16.0,30.0,7.0,2.0,2.0,5.0,2.0,54.0,10.0
399,25.0,137.0,48.0,80.0,42.0,30.0,0.0,175.0,187.0
400,8.0,53.0,19.0,4.0,2.0,5.0,0.0,70.0,21.0
403,13.0,45.0,12.0,2.0,0.0,2.0,1.0,64.0,11.0
407,27.0,90.0,14.0,1.0,0.0,12.0,0.0,131.0,13.0
410,4.0,7.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0
412,14.0,73.0,12.0,21.0,9.0,0.0,4.0,88.0,45.0
414,37.0,138.0,43.0,90.0,62.0,8.0,2.0,164.0,216.0
419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
420,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
421,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
424,9.0,39.0,0.0,3.0,2.0,8.0,0.0,56.0,5.0
426,17.0,52.0,26.0,34.0,16.0,0.0,1.0,64.0,82.0
428,3.0,34.0,4.0,14.0,13.0,0.0,0.0,38.0,30.0
432,24.0,83.0,21.0,14.0,0.0,5.0,0.0,104.0,43.0
433,37.0,134.0,57.0,61.0,43.0,62.0,1.0,173.0,222.0
435,35.0,64.0,24.0,34.0,11.0,64.0,47.0,211.0,68.0
436,10.0,57.0,16.0,46.0,24.0,0.0,1.0,70.0,84.0
438,12.0,16.0,0.0,2.0,1.0,0.0,2.0,30.0,3.0
441,30.0,71.0,53.0,1.0,1.0,0.0,0.0,89.0,67.0
442,32.0,123.0,30.0,80.0,26.0,38.0,3.0,180.0,152.0
444,27.0,149.0,33.0,94.0,49.0,0.0,0.0,171.0,181.0
445,6.0,36.0,5.0,5.0,11.0,1.0,0.0,23.0,41.0
446,6.0,29.0,8.0,18.0,12.0,0.0,0.0,38.0,35.0
447,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
450,29.0,110.0,16.0,10.0,6.0,3.0,1.0,143.0,32.0
452,50.0,66.0,34.0,45.0,28.0,5.0,8.0,125.0,111.0
454,26.0,39.0,0.0,9.0,7.0,0.0,0.0,65.0,16.0
458,99.0,184.0,28.0,117.0,61.0,145.0,35.0,462.0,207.0
463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
464,13.0,71.0,42.0,50.0,27.0,27.0,0.0,103.0,127.0
469,19.0,148.0,35.0,19.0,12.0,4.0,1.0,164.0,74.0
471,19.0,81.0,0.0,32.0,15.0,0.0,0.0,99.0,48.0
480,11.0,80.0,10.0,21.0,17.0,2.0,0.0,91.0,50.0
484,14.0,55.0,0.0,40.0,27.0,0.0,1.0,69.0,68.0
486,20.0,23.0,19.0,17.0,8.0,1.0,2.0,50.0,40.0
490,28.0,71.0,0.0,23.0,15.0,1.0,3.0,95.0,46.0
500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
509,10.0,50.0,31.0,33.0,18.0,1.0,1.0,62.0,82.0
514,30.0,99.0,17.0,7.0,1.0,5.0,1.0,133.0,27.0
515,76.0,304.0,94.0,154.0,39.0,20.0,3.0,367.0,323.0
516,26.0,178.0,52.0,71.0,27.0,129.0,0.0,336.0,147.0
517,39.0,183.0,80.0,31.0,10.0,0.0,2.0,220.0,125.0
522,90.0,184.0,82.0,112.0,54.0,21.0,11.0,297.0,257.0
533,29.0,110.0,20.0,4.0,12.0,35.0,2.0,151.0,61.0
534,10.0,30.0,3.0,4.0,4.0,0.0,0.0,40.0,11.0
535,5.0,43.0,37.0,10.0,24.0,1.0,0.0,20.0,100.0
536,36.0,48.0,5.0,26.0,9.0,0.0,0.0,85.0,39.0
543,10.0,28.0,6.0,15.0,9.0,0.0,1.0,40.0,29.0
547,7.0,47.0,20.0,3.0,3.0,2.0,1.0,62.0,21.0
550,12.0,23.0,2.0,3.0,1.0,0.0,1.0,34.0,8.0
552,49.0,121.0,48.0,12.0,6.0,9.0,4.0,176.0,73.0
555,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
556,11.0,67.0,3.0,58.0,39.0,1.0,1.0,79.0,101.0
558,13.0,61.0,14.0,1.0,0.0,6.0,1.0,82.0,14.0
561,15.0,95.0,46.0,24.0,22.0,4.0,0.0,68.0,138.0
566,23.0,98.0,20.0,62.0,13.0,13.0,2.0,134.0,97.0
576,23.0,75.0,25.0,54.0,26.0,18.0,1.0,113.0,109.0
579,11.0,35.0,0.0,22.0,15.0,2.0,2.0,44.0,43.0
580,29.0,142.0,36.0,20.0,13.0,54.0,0.0,206.0,88.0
581,13.0,65.0,20.0,6.0,3.0,0.0,0.0,70.0,37.0
584,8.0,31.0,0.0,28.0,23.0,0.0,0.0,38.0,52.0
587,44.0,124.0,19.0,8.0,4.0,8.0,3.0,176.0,34.0
588,25.0,147.0,52.0,12.0,9.0,6.0,1.0,162.0,90.0
589,5.0,60.0,0.0,23.0,17.0,1.0,0.0,36.0,70.0
590,4.0,8.0,0.0,4.0,3.0,0.0,0.0,12.0,7.0
599,32.0,104.0,31.0,8.0,14.0,1.0,2.0,121.0,71.0
600,18.0,66.0,6.0,14.0,4.0,0.0,0.0,78.0,30.0
603,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
606,68.0,299.0,45.0,248.0,149.0,4.0,5.0,370.0,448.0
609,11.0,36.0,6.0,24.0,12.0,0.0,1.0,48.0,42.0
612,16.0,65.0,2.0,7.0,1.0,2.0,2.0,80.0,15.0
613,15.0,43.0,6.0,8.0,4.0,1.0,1.0,63.0,15.0
614,3.0,6.0,15.0,1.0,0.0,0.0,0.0,12.0,13.0
625,25.0,109.0,39.0,38.0,25.0,1.0,0.0,129.0,108.0
627,7.0,10.0,0.0,8.0,6.0,0.0,2.0,19.0,14.0
629,15.0,34.0,8.0,6.0,5.0,2.0,3.0,54.0,19.0
630,10.0,49.0,0.0,6.0,0.0,1.0,0.0,60.0,6.0
633,10.0,57.0,6.0,22.0,14.0,0.0,0.0,68.0,41.0
638,55.0,117.0,28.0,82.0,43.0,1.0,1.0,176.0,151.0
639,37.0,130.0,69.0,88.0,39.0,17.0,1.0,176.0,205.0
643,8.0,80.0,2.0,21.0,30.0,0.0,0.0,67.0,74.0
645,6.0,27.0,6.0,2.0,1.0,0.0,0.0,27.0,15.0
652,14.0,28.0,4.0,24.0,13.0,1.0,1.0,46.0,39.0
654,22.0,56.0,9.0,42.0,27.0,9.0,0.0,88.0,77.0
658,39.0,111.0,33.0,28.0,17.0,92.0,50.0,298.0,72.0
660,13.0,78.0,27.0,42.0,19.0,0.0,0.0,89.0,90.0
661,14.0,40.0,15.0,33.0,16.0,1.0,1.0,60.0,60.0
667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
676,12.0,43.0,40.0,5.0,1.0,1.0,1.0,62.0,41.0
680,16.0,36.0,7.0,29.0,16.0,1.0,1.0,53.0,53.0
682,30.0,70.0,9.0,42.0,21.0,3.0,1.0,106.0,70.0
683,8.0,18.0,10.0,10.0,7.0,0.0,0.0,28.0,25.0
687,25.0,64.0,21.0,13.0,11.0,26.0,1.0,118.0,43.0
691,15.0,53.0,8.0,3.0,6.0,0.0,0.0,70.0,15.0
693,36.0,172.0,86.0,115.0,65.0,0.0,1.0,194.0,281.0
697,20.0,33.0,53.0,0.0,0.0,0.0,0.0,43.0,63.0
700,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
701,10.0,31.0,0.0,24.0,17.0,0.0,0.0,40.0,42.0
703,23.0,85.0,20.0,48.0,29.0,2.0,0.0,104.0,103.0
704,22.0,76.0,14.0,50.0,20.0,1.0,2.0,96.0,89.0
705,5.0,10.0,0.0,2.0,2.0,0.0,0.0,15.0,4.0
707,10.0,63.0,0.0,46.0,32.0,0.0,0.0,73.0,78.0
709,26.0,96.0,25.0,61.0,24.0,3.0,1.0,121.0,115.0
711,31.0,100.0,36.0,43.0,21.0,5.0,1.0,130.0,107.0
713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
714,15.0,62.0,20.0,43.0,15.0,23.0,1.0,107.0,72.0
717,53.0,201.0,47.0,33.0,2.0,33.0,4.0,281.0,92.0
719,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0
726,16.0,63.0,24.0,8.0,9.0,4.0,1.0,79.0,46.0
728,13.0,116.0,17.0,3.0,4.0,10.0,0.0,141.0,22.0
731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
733,12.0,42.0,0.0,23.0,6.0,2.0,1.0,54.0,32.0
738,20.0,64.0,8.0,33.0,21.0,4.0,3.0,92.0,61.0
746,10.0,52.0,0.0,33.0,23.0,0.0,0.0,57.0,61.0
750,5.0,23.0,12.0,22.0,19.0,1.0,2.0,35.0,49.0
751,45.0,184.0,48.0,73.0,13.0,34.0,1.0,227.0,171.0
753,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
757,23.0,84.0,80.0,53.0,40.0,0.0,1.0,98.0,183.0
758,13.0,81.0,32.0,41.0,20.0,0.0,0.0,85.0,102.0
761,67.0,316.0,26.0,108.0,43.0,134.0,1.0,499.0,196.0
768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
769,24.0,163.0,19.0,52.0,30.0,0.0,0.0,187.0,101.0
771,7.0,19.0,19.0,0.0,0.0,0.0,0.0,19.0,26.0
773,13.0,5.0,0.0,2.0,1.0,1.0,1.0,20.0,3.0
774,93.0,292.0,8.0,171.0,36.0,26.0,6.0,411.0,221.0
778,15.0,71.0,49.0,49.0,21.0,30.0,1.0,109.0,127.0
783,33.0,52.0,28.0,18.0,2.0,92.0,2.0,186.0,41.0
788,17.0,70.0,28.0,35.0,18.0,0.0,0.0,92.0,76.0
790,20.0,84.0,50.0,2.0,1.0,0.0,1.0,97.0,61.0
791,10.0,61.0,12.0,45.0,25.0,12.0,0.0,81.0,84.0
792,11.0,25.0,14.0,20.0,0.0,6.0,2.0,47.0,31.0
793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
802,13.0,129.0,27.0,55.0,40.0,0.0,0.0,130.0,134.0
803,9.0,8.0,0.0,1.0,1.0,1.0,0.0,18.0,2.0
805,10.0,42.0,23.0,21.0,5.0,13.0,0.0,66.0,48.0
810,18.0,72.0,8.0,24.0,7.0,2.0,1.0,95.0,37.0
818,2.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0
819,3.0,17.0,0.0,14.0,12.0,0.0,0.0,19.0,27.0
820,28.0,54.0,13.0,33.0,0.0,43.0,6.0,135.0,42.0
821,40.0,112.0,34.0,68.0,33.0,1.0,0.0,160.0,128.0
825,29.0,138.0,36.0,63.0,41.0,1.0,1.0,124.0,185.0
827,13.0,52.0,13.0,1.0,2.0,1.0,2.0,71.0,13.0
833,6.0,7.0,19.0,0.0,0.0,0.0,0.0,13.0,19.0
837,10.0,69.0,38.0,10.0,26.0,0.0,0.0,56.0,97.0
838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
844,3.0,15.0,0.0,11.0,9.0,0.0,0.0,17.0,21.0
845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
848,14.0,37.0,46.0,28.0,16.0,14.0,0.0,61.0,94.0
850,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
852,30.0,150.0,57.0,41.0,13.0,5.0,3.0,175.0,124.0
854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
858,15.0,122.0,12.0,25.0,13.0,4.0,1.0,142.0,50.0
860,18.0,44.0,20.0,28.0,18.0,0.0,0.0,65.0,63.0
862,21.0,175.0,14.0,50.0,20.0,3.0,1.0,201.0,83.0
868,34.0,66.0,9.0,6.0,3.0,195.0,15.0,311.0,17.0
870,22.0,79.0,20.0,59.0,15.0,12.0,4.0,115.0,96.0
872,25.0,63.0,22.0,46.0,21.0,6.0,0.0,96.0,87.0
873,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
875,21.0,108.0,55.0,5.0,4.0,8.0,0.0,119.0,82.0
878,30.0,65.0,48.0,3.0,2.0,9.0,3.0,107.0,53.0
882,90.0,214.0,22.0,146.0,107.0,4.0,2.0,314.0,271.0
884,26.0,180.0,212.0,59.0,48.0,0.0,0.0,134.0,391.0
885,74.0,219.0,78.0,98.0,43.0,32.0,1.0,289.0,256.0
887,29.0,95.0,39.0,3.0,1.0,0.0,0.0,123.0,44.0
888,7.0,25.0,0.0,2.0,6.0,1.0,1.0,24.0,18.0
890,16.0,45.0,2.0,3.0,0.0,12.0,0.0,71.0,7.0
893,10.0,10.0,0.0,3.0,2.0,0.0,0.0,20.0,5.0
899,50.0,124.0,39.0,11.0,11.0,25.0,3.0,195.0,68.0
900,7.0,10.0,0.0,8.0,0.0,0.0,0.0,17.0,8.0
901,31.0,34.0,24.0,24.0,11.0,4.0,1.0,72.0,57.0
903,9.0,102.0,55.0,72.0,35.0,2.0,0.0,97.0,178.0
906,14.0,70.0,57.0,49.0,32.0,0.0,0.0,81.0,141.0
907,15.0,52.0,18.0,5.0,3.0,24.0,2.0,92.0,27.0
912,43.0,53.0,8.0,44.0,34.0,1.0,0.0,97.0,86.0
919,12.0,11.0,0.0,8.0,2.0,2.0,1.0,25.0,11.0
921,34.0,98.0,37.0,56.0,19.0,0.0,0.0,121.0,123.0
922,10.0,168.0,54.0,129.0,44.0,0.0,0.0,152.0,253.0
923,31.0,99.0,20.0,8.0,2.0,30.0,0.0,161.0,29.0
925,2.0,41.0,4.0,31.0,20.0,0.0,0.0,43.0,55.0
930,18.0,45.0,2.0,1.0,1.0,0.0,0.0,63.0,4.0
935,7.0,4.0,0.0,4.0,3.0,0.0,0.0,11.0,7.0
936,39.0,352.0,95.0,100.0,46.0,18.0,0.0,290.0,360.0
937,25.0,266.0,160.0,79.0,32.0,29.0,0.0,236.0,355.0
938,1.0,8.0,0.0,6.0,6.0,0.0,0.0,9.0,12.0
939,13.0,126.0,20.0,64.0,35.0,24.0,2.0,165.0,119.0
940,53.0,259.0,87.0,161.0,43.0,27.0,7.0,305.0,332.0
941,16.0,70.0,22.0,34.0,21.0,5.0,1.0,89.0,80.0
942,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
945,15.0,168.0,33.0,50.0,34.0,0.0,0.0,176.0,124.0
950,5.0,5.0,0.0,3.0,2.0,0.0,0.0,10.0,5.0
953,23.0,58.0,0.0,24.0,9.0,28.0,1.0,110.0,33.0
954,13.0,53.0,0.0,28.0,16.0,0.0,0.0,65.0,45.0
955,42.0,152.0,61.0,101.0,39.0,42.0,8.0,220.0,225.0
958,14.0,34.0,2.0,22.0,10.0,2.0,1.0,48.0,37.0
961,3.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0
962,2.0,12.0,4.0,1.0,0.0,0.0,0.0,15.0,4.0
963,22.0,149.0,32.0,3.0,0.0,0.0,46.0,222.0,30.0
965,22.0,184.0,79.0,26.0,7.0,13.0,1.0,179.0,153.0
967,9.0,61.0,0.0,35.0,19.0,1.0,0.0,71.0,54.0
974,12.0,31.0,16.0,5.0,3.0,0.0,1.0,48.0,20.0
988,10.0,108.0,22.0,97.0,68.0,16.0,0.0,137.0,184.0
991,3.0,26.0,0.0,12.0,10.0,0.0,0.0,23.0,28.0
992,3.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
994,18.0,197.0,33.0,89.0,38.0,0.0,2.0,196.0,181.0
996,18.0,55.0,2.0,28.0,14.0,0.0,0.0,73.0,44.0
997,88.0,75.0,58.0,25.0,19.0,74.0,11.0,256.0,94.0
1000,40.0,211.0,94.0,155.0,75.0,22.0,4.0,262.0,339.0
1005,23.0,57.0,28.0,39.0,15.0,1.0,0.0,89.0,74.0
1007,21.0,86.0,45.0,51.0,22.0,2.0,1.0,111.0,117.0
1019,45.0,182.0,33.0,93.0,48.0,7.0,2.0,239.0,171.0
1020,37.0,134.0,52.0,62.0,20.0,23.0,3.0,165.0,166.0
1022,1.0,14.0,4.0,10.0,8.0,0.0,0.0,15.0,22.0
1024,14.0,114.0,57.0,61.0,41.0,2.0,0.0,91.0,198.0
1028,40.0,148.0,89.0,104.0,41.0,6.0,1.0,183.0,246.0
1029,39.0,112.0,17.0,11.0,4.0,0.0,0.0,143.0,40.0
1030,46.0,272.0,7.0,135.0,76.0,292.0,1.0,504.0,325.0
1031,5.0,7.0,0.0,2.0,0.0,0.0,0.0,12.0,2.0
1033,31.0,84.0,27.0,0.0,0.0,3.0,2.0,114.0,33.0
