enrollment_id,navigate,access,problem,page_close,video,discussion,wiki,server,browser,lastlog-firstlog,study days,early events,mid events,late events
94,29.0,52.0,8.0,42.0,7.0,7.0,2.0,91.0,56.0,18,14,0,36,21
96,10.0,80.0,34.0,38.0,28.0,1.0,0.0,67.0,124.0,26,8,51,70,18
98,46.0,74.0,7.0,39.0,13.0,13.0,2.0,135.0,59.0,25,14,51,2,17
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
103,17.0,233.0,52.0,12.0,10.0,3.0,0.0,220.0,107.0,20,10,11,93,176
107,19.0,67.0,31.0,5.0,0.0,23.0,0.0,99.0,46.0,13,3,31,16,42
109,5.0,14.0,0.0,10.0,6.0,0.0,0.0,19.0,16.0,7,2,0,0,17
112,50.0,248.0,58.0,17.0,10.0,25.0,2.0,279.0,131.0,28,12,50,13,210
120,32.0,1152.0,58.0,88.0,54.0,42.0,3.0,1224.0,205.0,21,8,24,1076,151
121,27.0,97.0,32.0,8.0,4.0,4.0,2.0,121.0,53.0,13,7,0,104,15
130,6.0,47.0,12.0,20.0,8.0,1.0,1.0,56.0,39.0,15,5,37,18,10
131,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0,1,0,0,1
132,4.0,3.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,18,2,4,0,0
133,4.0,58.0,14.0,51.0,34.0,0.0,0.0,65.0,96.0,5,3,0,0,104
135,25.0,78.0,39.0,52.0,17.0,16.0,1.0,130.0,98.0,17,13,0,101,11
138,29.0,80.0,29.0,55.0,30.0,28.0,5.0,137.0,119.0,6,4,0,0,126
140,4.0,34.0,0.0,1.0,0.0,0.0,0.0,36.0,3.0,24,15,14,10,9
141,36.0,105.0,101.0,42.0,31.0,22.0,0.0,116.0,221.0,14,6,0,253,0
144,36.0,165.0,64.0,34.0,81.0,13.0,1.0,107.0,287.0,27,10,81,37,157
146,39.0,128.0,18.0,56.0,32.0,5.0,4.0,175.0,107.0,23,16,32,51,65
148,50.0,234.0,53.0,92.0,39.0,54.0,1.0,308.0,215.0,26,18,54,124,103
149,7.0,4.0,8.0,0.0,0.0,0.0,0.0,13.0,6.0,0,1,0,0,12
150,4.0,16.0,26.0,7.0,0.0,0.0,0.0,25.0,28.0,5,2,0,0,38
152,20.0,136.0,47.0,51.0,27.0,24.0,2.0,173.0,134.0,25,8,76,14,110
155,30.0,95.0,42.0,26.0,3.0,22.0,1.0,135.0,84.0,24,9,37,53,34
156,4.0,3.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,1,2,0,0,3
157,10.0,38.0,58.0,18.0,0.0,0.0,0.0,48.0,76.0,14,4,0,14,76
159,40.0,252.0,54.0,130.0,61.0,20.0,1.0,298.0,260.0,12,9,0,95,238
160,3.0,35.0,4.0,22.0,13.0,0.0,0.0,38.0,39.0,0,2,0,0,49
173,69.0,176.0,52.0,119.0,57.0,7.0,5.0,249.0,236.0,27,17,73,34,140
175,9.0,10.0,0.0,6.0,4.0,0.0,1.0,20.0,10.0,0,1,0,0,12
182,42.0,110.0,16.0,72.0,23.0,45.0,13.0,214.0,107.0,20,13,67,24,26
186,11.0,127.0,7.0,2.0,10.0,4.0,2.0,146.0,17.0,2,3,0,0,138
189,55.0,200.0,42.0,142.0,68.0,23.0,4.0,275.0,259.0,26,10,140,113,31
190,21.0,68.0,31.0,57.0,41.0,39.0,4.0,139.0,122.0,20,7,23,1,101
192,70.0,247.0,28.0,58.0,60.0,0.0,0.0,178.0,285.0,23,19,115,56,165
196,18.0,51.0,54.0,18.0,1.0,1.0,1.0,58.0,86.0,9,3,0,11,85
198,19.0,101.0,14.0,79.0,42.0,0.0,0.0,121.0,134.0,27,17,39,21,82
199,57.0,307.0,216.0,114.0,73.0,239.0,8.0,481.0,533.0,17,10,126,331,135
200,4.0,8.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,22,2,3,0,6
201,13.0,90.0,38.0,53.0,21.0,3.0,0.0,104.0,114.0,24,12,27,22,96
204,13.0,40.0,10.0,3.0,3.0,11.0,1.0,69.0,12.0,17,3,0,8,39
209,13.0,59.0,27.0,49.0,17.0,0.0,0.0,80.0,85.0,17,7,31,60,3
212,3.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0,1,0,0,4
216,20.0,42.0,5.0,32.0,8.0,4.0,2.0,68.0,45.0,17,10,39,8,1
221,30.0,72.0,24.0,49.0,23.0,3.0,1.0,102.0,100.0,21,13,23,42,39
226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
235,26.0,111.0,8.0,10.0,1.0,3.0,6.0,135.0,30.0,12,9,50,38,17
239,33.0,94.0,23.0,19.0,4.0,2.0,0.0,133.0,42.0,21,20,22,46,23
240,21.0,233.0,25.0,37.0,42.0,279.0,0.0,539.0,98.0,11,12,0,4,284
241,27.0,43.0,8.0,23.0,12.0,2.0,2.0,75.0,42.0,17,6,0,42,6
244,16.0,97.0,30.0,68.0,31.0,13.0,0.0,114.0,141.0,20,7,38,0,105
245,20.0,8.0,21.0,6.0,0.0,0.0,0.0,29.0,26.0,25,7,1,28,0
247,17.0,62.0,12.0,6.0,4.0,0.0,0.0,78.0,23.0,26,7,32,15,23
249,4.0,27.0,6.0,22.0,18.0,0.0,0.0,33.0,44.0,10,5,0,5,44
251,20.0,80.0,51.0,6.0,1.0,8.0,2.0,114.0,54.0,26,5,31,23,66
256,2.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,0,1,0,0,4
262,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,0,0,0
264,6.0,20.0,2.0,1.0,3.0,1.0,1.0,27.0,7.0,0,1,0,0,23
265,14.0,85.0,8.0,3.0,14.0,0.0,0.0,73.0,51.0,22,8,20,55,12
266,62.0,211.0,64.0,15.0,15.0,18.0,6.0,221.0,170.0,28,14,94,60,110
268,47.0,160.0,66.0,8.0,11.0,2.0,0.0,186.0,108.0,26,12,32,24,157
269,38.0,99.0,18.0,60.0,17.0,4.0,1.0,141.0,96.0,20,10,55,34,33
270,11.0,61.0,24.0,0.0,0.0,24.0,0.0,100.0,20.0,24,13,30,17,21
272,19.0,25.0,0.0,9.0,0.0,111.0,0.0,145.0,19.0,12,12,0,8,13
277,23.0,75.0,12.0,3.0,1.0,15.0,2.0,111.0,20.0,21,5,44,3,29
279,27.0,131.0,10.0,84.0,48.0,2.0,4.0,153.0,153.0,26,12,25,56,90
281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
282,15.0,51.0,17.0,39.0,23.0,2.0,1.0,72.0,76.0,16,11,0,53,28
284,78.0,118.0,6.0,37.0,55.0,326.0,0.0,478.0,142.0,29,24,20,143,1
293,6.0,36.0,4.0,21.0,11.0,3.0,0.0,42.0,39.0,18,4,17,24,2
295,31.0,222.0,47.0,130.0,46.0,40.0,0.0,255.0,261.0,24,11,77,35,165
297,24.0,91.0,20.0,58.0,36.0,8.0,0.0,117.0,120.0,14,11,0,124,9
302,38.0,165.0,23.0,40.0,10.0,4.0,3.0,209.0,74.0,29,17,91,30,49
304,16.0,127.0,22.0,76.0,36.0,0.0,0.0,140.0,137.0,26,11,40,22,101
307,13.0,78.0,9.0,51.0,25.0,1.0,0.0,93.0,84.0,23,7,29,4,65
309,55.0,154.0,28.0,77.0,46.0,6.0,11.0,230.0,147.0,16,8,0,57,139
311,29.0,145.0,21.0,57.0,5.0,14.0,3.0,190.0,84.0,27,12,68,44,40
316,3.0,25.0,4.0,19.0,0.0,0.0,0.0,26.0,25.0,3,3,0,0,27
319,32.0,67.0,14.0,12.0,6.0,0.0,0.0,98.0,33.0,22,13,25,15,36
322,20.0,71.0,25.0,58.0,8.0,14.0,2.0,112.0,86.0,20,9,4,58,26
323,60.0,155.0,47.0,81.0,31.0,25.0,2.0,230.0,171.0,21,11,81,0,116
324,62.0,71.0,4.0,48.0,27.0,40.0,39.0,212.0,79.0,10,10,0,0,88
325,10.0,18.0,12.0,14.0,1.0,0.0,0.0,31.0,24.0,8,3,0,12,16
327,40.0,87.0,64.0,64.0,38.0,9.0,1.0,125.0,178.0,27,26,30,105,53
329,25.0,104.0,87.0,13.0,35.0,9.0,0.0,107.0,166.0,23,7,49,72,95
332,12.0,48.0,3.0,35.0,11.0,3.0,0.0,59.0,53.0,24,10,21,17,15
339,23.0,86.0,47.0,1.0,5.0,5.0,1.0,105.0,63.0,19,7,39,0,91
340,8.0,38.0,0.0,5.0,3.0,0.0,0.0,45.0,9.0,17,6,18,4,12
341,47.0,120.0,58.0,45.0,24.0,11.0,3.0,165.0,143.0,26,7,38,28,113
344,8.0,159.0,57.0,110.0,41.0,31.0,2.0,185.0,223.0,11,10,0,2,245
346,11.0,139.0,33.0,75.0,30.0,8.0,0.0,145.0,151.0,4,5,0,20,174
349,17.0,88.0,55.0,49.0,23.0,0.0,0.0,77.0,155.0,21,6,18,0,142
351,23.0,105.0,22.0,79.0,38.0,12.0,1.0,140.0,140.0,27,14,44,11,91
352,69.0,197.0,80.0,96.0,58.0,184.0,6.0,422.0,268.0,28,12,120,57,155
355,9.0,45.0,24.0,27.0,12.0,0.0,0.0,57.0,60.0,10,8,0,0,75
357,48.0,62.0,0.0,42.0,20.0,0.0,1.0,106.0,67.0,19,17,0,42,18
358,7.0,3.0,0.0,2.0,0.0,1.0,0.0,11.0,2.0,0,1,0,0,2
360,2.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,4.0,0,1,0,0,4
366,7.0,70.0,16.0,6.0,3.0,0.0,1.0,80.0,23.0,5,7,0,84,2
367,8.0,6.0,0.0,4.0,1.0,0.0,1.0,14.0,6.0,0,1,0,0,6
370,3.0,4.0,0.0,4.0,4.0,0.0,0.0,7.0,8.0,0,1,0,0,8
371,33.0,103.0,63.0,45.0,8.0,4.0,2.0,122.0,136.0,18,7,0,22,133
373,49.0,210.0,134.0,75.0,3.0,56.0,3.0,271.0,259.0,22,11,118,84,138
377,20.0,65.0,26.0,11.0,4.0,19.0,33.0,128.0,50.0,19,6,9,32,39
382,20.0,128.0,69.0,24.0,11.0,6.0,2.0,140.0,120.0,23,13,26,39,136
386,8.0,23.0,13.0,18.0,7.0,0.0,0.0,31.0,38.0,5,2,0,0,38
387,37.0,68.0,36.0,41.0,23.0,3.0,0.0,96.0,112.0,16,10,0,10,116
394,17.0,93.0,47.0,26.0,14.0,2.0,1.0,104.0,96.0,10,8,0,56,90
396,34.0,82.0,32.0,48.0,28.0,18.0,3.0,130.0,115.0,19,6,57,10,65
398,16.0,30.0,7.0,2.0,2.0,5.0,2.0,54.0,10.0,2,3,0,7,26
399,25.0,137.0,48.0,80.0,42.0,30.0,0.0,175.0,187.0,24,12,51,122,39
400,8.0,53.0,19.0,4.0,2.0,5.0,0.0,70.0,21.0,24,7,6,0,59
403,13.0,45.0,12.0,2.0,0.0,2.0,1.0,64.0,11.0,15,4,0,26,27
407,27.0,90.0,14.0,1.0,0.0,12.0,0.0,131.0,13.0,14,8,0,68,15
410,4.0,7.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,0,1,0,0,6
412,14.0,73.0,12.0,21.0,9.0,0.0,4.0,88.0,45.0,8,5,0,0,86
414,37.0,138.0,43.0,90.0,62.0,8.0,2.0,164.0,216.0,26,11,51,10,168
419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
420,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
421,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,0,0,0
424,9.0,39.0,0.0,3.0,2.0,8.0,0.0,56.0,5.0,8,5,0,0,32
426,17.0,52.0,26.0,34.0,16.0,0.0,1.0,64.0,82.0,15,7,0,22,63
428,3.0,34.0,4.0,14.0,13.0,0.0,0.0,38.0,30.0,1,2,0,0,50
432,24.0,83.0,21.0,14.0,0.0,5.0,0.0,104.0,43.0,26,14,29,43,11
433,37.0,134.0,57.0,61.0,43.0,62.0,1.0,173.0,222.0,22,19,99,120,10
435,35.0,64.0,24.0,34.0,11.0,64.0,47.0,211.0,68.0,20,6,33,17,31
436,10.0,57.0,16.0,46.0,24.0,0.0,1.0,70.0,84.0,27,8,15,35,39
438,12.0,16.0,0.0,2.0,1.0,0.0,2.0,30.0,3.0,0,1,0,0,11
441,30.0,71.0,53.0,1.0,1.0,0.0,0.0,89.0,67.0,24,7,18,20,87
442,32.0,123.0,30.0,80.0,26.0,38.0,3.0,180.0,152.0,28,4,41,45,79
444,27.0,149.0,33.0,94.0,49.0,0.0,0.0,171.0,181.0,28,17,68,5,138
445,6.0,36.0,5.0,5.0,11.0,1.0,0.0,23.0,41.0,1,3,0,0,49
446,6.0,29.0,8.0,18.0,12.0,0.0,0.0,38.0,35.0,0,2,0,0,45
447,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
450,29.0,110.0,16.0,10.0,6.0,3.0,1.0,143.0,32.0,14,8,60,35,15
452,50.0,66.0,34.0,45.0,28.0,5.0,8.0,125.0,111.0,26,8,9,23,87
454,26.0,39.0,0.0,9.0,7.0,0.0,0.0,65.0,16.0,24,7,6,4,27
458,99.0,184.0,28.0,117.0,61.0,145.0,35.0,462.0,207.0,20,14,58,74,103
463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
464,13.0,71.0,42.0,50.0,27.0,27.0,0.0,103.0,127.0,17,8,24,20,86
469,19.0,148.0,35.0,19.0,12.0,4.0,1.0,164.0,74.0,29,14,49,42,88
471,19.0,81.0,0.0,32.0,15.0,0.0,0.0,99.0,48.0,21,10,42,22,19
480,11.0,80.0,10.0,21.0,17.0,2.0,0.0,91.0,50.0,15,8,0,58,47
484,14.0,55.0,0.0,40.0,27.0,0.0,1.0,69.0,68.0,2,3,0,0,72
486,20.0,23.0,19.0,17.0,8.0,1.0,2.0,50.0,40.0,7,4,0,0,45
490,28.0,71.0,0.0,23.0,15.0,1.0,3.0,95.0,46.0,16,5,0,45,30
500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
509,10.0,50.0,31.0,33.0,18.0,1.0,1.0,62.0,82.0,16,5,0,23,71
514,30.0,99.0,17.0,7.0,1.0,5.0,1.0,133.0,27.0,15,9,48,20,32
515,76.0,304.0,94.0,154.0,39.0,20.0,3.0,367.0,323.0,27,14,28,110,269
516,26.0,178.0,52.0,71.0,27.0,129.0,0.0,336.0,147.0,21,12,77,32,124
517,39.0,183.0,80.0,31.0,10.0,0.0,2.0,220.0,125.0,25,13,40,23,187
522,90.0,184.0,82.0,112.0,54.0,21.0,11.0,297.0,257.0,27,16,57,45,181
533,29.0,110.0,20.0,4.0,12.0,35.0,2.0,151.0,61.0,8,6,0,103,26
534,10.0,30.0,3.0,4.0,4.0,0.0,0.0,40.0,11.0,2,3,0,0,32
535,5.0,43.0,37.0,10.0,24.0,1.0,0.0,20.0,100.0,5,3,0,0,101
536,36.0,48.0,5.0,26.0,9.0,0.0,0.0,85.0,39.0,20,6,9,25,13
543,10.0,28.0,6.0,15.0,9.0,0.0,1.0,40.0,29.0,11,4,27,5,5
547,7.0,47.0,20.0,3.0,3.0,2.0,1.0,62.0,21.0,18,7,12,0,51
550,12.0,23.0,2.0,3.0,1.0,0.0,1.0,34.0,8.0,0,2,0,0,22
552,49.0,121.0,48.0,12.0,6.0,9.0,4.0,176.0,73.0,28,17,48,21,83
555,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,2,0,0,0
556,11.0,67.0,3.0,58.0,39.0,1.0,1.0,79.0,101.0,4,4,0,0,102
558,13.0,61.0,14.0,1.0,0.0,6.0,1.0,82.0,14.0,25,4,27,4,32
561,15.0,95.0,46.0,24.0,22.0,4.0,0.0,68.0,138.0,6,3,0,0,156
566,23.0,98.0,20.0,62.0,13.0,13.0,2.0,134.0,97.0,21,9,76,9,32
576,23.0,75.0,25.0,54.0,26.0,18.0,1.0,113.0,109.0,7,5,0,107,8
579,11.0,35.0,0.0,22.0,15.0,2.0,2.0,44.0,43.0,7,4,0,11,37
580,29.0,142.0,36.0,20.0,13.0,54.0,0.0,206.0,88.0,28,11,45,18,105
581,13.0,65.0,20.0,6.0,3.0,0.0,0.0,70.0,37.0,19,7,6,34,43
584,8.0,31.0,0.0,28.0,23.0,0.0,0.0,38.0,52.0,3,3,0,48,4
587,44.0,124.0,19.0,8.0,4.0,8.0,3.0,176.0,34.0,20,8,31,22,72
588,25.0,147.0,52.0,12.0,9.0,6.0,1.0,162.0,90.0,15,10,0,38,155
589,5.0,60.0,0.0,23.0,17.0,1.0,0.0,36.0,70.0,2,3,0,0,70
590,4.0,8.0,0.0,4.0,3.0,0.0,0.0,12.0,7.0,0,2,0,0,9
599,32.0,104.0,31.0,8.0,14.0,1.0,2.0,121.0,71.0,27,10,58,5,70
600,18.0,66.0,6.0,14.0,4.0,0.0,0.0,78.0,30.0,11,8,0,22,43
603,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
606,68.0,299.0,45.0,248.0,149.0,4.0,5.0,370.0,448.0,23,15,148,104,212
609,11.0,36.0,6.0,24.0,12.0,0.0,1.0,48.0,42.0,20,4,4,35,3
612,16.0,65.0,2.0,7.0,1.0,2.0,2.0,80.0,15.0,16,5,0,37,23
613,15.0,43.0,6.0,8.0,4.0,1.0,1.0,63.0,15.0,7,5,0,0,48
614,3.0,6.0,15.0,1.0,0.0,0.0,0.0,12.0,13.0,0,1,0,0,20
625,25.0,109.0,39.0,38.0,25.0,1.0,0.0,129.0,108.0,7,4,0,0,158
627,7.0,10.0,0.0,8.0,6.0,0.0,2.0,19.0,14.0,0,1,0,0,14
629,15.0,34.0,8.0,6.0,5.0,2.0,3.0,54.0,19.0,18,4,0,3,43
630,10.0,49.0,0.0,6.0,0.0,1.0,0.0,60.0,6.0,5,2,0,26,9
633,10.0,57.0,6.0,22.0,14.0,0.0,0.0,68.0,41.0,21,7,19,19,29
638,55.0,117.0,28.0,82.0,43.0,1.0,1.0,176.0,151.0,29,21,46,72,47
639,37.0,130.0,69.0,88.0,39.0,17.0,1.0,176.0,205.0,25,11,32,8,176
643,8.0,80.0,2.0,21.0,30.0,0.0,0.0,67.0,74.0,21,5,12,77,14
645,6.0,27.0,6.0,2.0,1.0,0.0,0.0,27.0,15.0,1,2,0,0,31
652,14.0,28.0,4.0,24.0,13.0,1.0,1.0,46.0,39.0,2,3,0,0,42
654,22.0,56.0,9.0,42.0,27.0,9.0,0.0,88.0,77.0,6,6,0,0,82
658,39.0,111.0,33.0,28.0,17.0,92.0,50.0,298.0,72.0,27,13,42,54,35
660,13.0,78.0,27.0,42.0,19.0,0.0,0.0,89.0,90.0,24,6,30,18,63
661,14.0,40.0,15.0,33.0,16.0,1.0,1.0,60.0,60.0,18,5,25,28,13
667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
676,12.0,43.0,40.0,5.0,1.0,1.0,1.0,62.0,41.0,21,5,8,38,22
680,16.0,36.0,7.0,29.0,16.0,1.0,1.0,53.0,53.0,2,3,0,0,55
682,30.0,70.0,9.0,42.0,21.0,3.0,1.0,106.0,70.0,9,5,0,33,52
683,8.0,18.0,10.0,10.0,7.0,0.0,0.0,28.0,25.0,0,2,0,0,33
687,25.0,64.0,21.0,13.0,11.0,26.0,1.0,118.0,43.0,21,9,1,35,54
691,15.0,53.0,8.0,3.0,6.0,0.0,0.0,70.0,15.0,19,5,15,22,26
693,36.0,172.0,86.0,115.0,65.0,0.0,1.0,194.0,281.0,28,13,36,103,167
697,20.0,33.0,53.0,0.0,0.0,0.0,0.0,43.0,63.0,26,9,27,20,33
700,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0,1,0,0,1
701,10.0,31.0,0.0,24.0,17.0,0.0,0.0,40.0,42.0,18,4,0,15,28
703,23.0,85.0,20.0,48.0,29.0,2.0,0.0,104.0,103.0,29,9,37,39,46
704,22.0,76.0,14.0,50.0,20.0,1.0,2.0,96.0,89.0,6,5,0,78,21
705,5.0,10.0,0.0,2.0,2.0,0.0,0.0,15.0,4.0,0,1,0,0,9
707,10.0,63.0,0.0,46.0,32.0,0.0,0.0,73.0,78.0,19,3,10,0,79
709,26.0,96.0,25.0,61.0,24.0,3.0,1.0,121.0,115.0,27,12,6,50,70
711,31.0,100.0,36.0,43.0,21.0,5.0,1.0,130.0,107.0,21,12,23,76,44
713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
714,15.0,62.0,20.0,43.0,15.0,23.0,1.0,107.0,72.0,28,10,42,4,30
717,53.0,201.0,47.0,33.0,2.0,33.0,4.0,281.0,92.0,21,15,123,1,104
719,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0,1,0,0,2
726,16.0,63.0,24.0,8.0,9.0,4.0,1.0,79.0,46.0,19,9,29,42,20
728,13.0,116.0,17.0,3.0,4.0,10.0,0.0,141.0,22.0,20,7,24,32,60
731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
733,12.0,42.0,0.0,23.0,6.0,2.0,1.0,54.0,32.0,1,2,0,0,42
738,20.0,64.0,8.0,33.0,21.0,4.0,3.0,92.0,61.0,27,8,2,0,85
746,10.0,52.0,0.0,33.0,23.0,0.0,0.0,57.0,61.0,19,9,8,38,22
750,5.0,23.0,12.0,22.0,19.0,1.0,2.0,35.0,49.0,22,3,8,0,45
751,45.0,184.0,48.0,73.0,13.0,34.0,1.0,227.0,171.0,26,15,34,40,143
753,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,0,0,0
756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
757,23.0,84.0,80.0,53.0,40.0,0.0,1.0,98.0,183.0,3,4,0,0,201
758,13.0,81.0,32.0,41.0,20.0,0.0,0.0,85.0,102.0,19,9,0,42,80
761,67.0,316.0,26.0,108.0,43.0,134.0,1.0,499.0,196.0,27,23,48,108,188
768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
769,24.0,163.0,19.0,52.0,30.0,0.0,0.0,187.0,101.0,16,3,114,0,73
771,7.0,19.0,19.0,0.0,0.0,0.0,0.0,19.0,26.0,11,2,11,0,24
773,13.0,5.0,0.0,2.0,1.0,1.0,1.0,20.0,3.0,5,2,0,0,5
774,93.0,292.0,8.0,171.0,36.0,26.0,6.0,411.0,221.0,11,11,0,225,54
778,15.0,71.0,49.0,49.0,21.0,30.0,1.0,109.0,127.0,25,8,42,31,59
783,33.0,52.0,28.0,18.0,2.0,92.0,2.0,186.0,41.0,29,9,15,25,28
788,17.0,70.0,28.0,35.0,18.0,0.0,0.0,92.0,76.0,26,7,26,11,70
790,20.0,84.0,50.0,2.0,1.0,0.0,1.0,97.0,61.0,14,6,6,77,46
791,10.0,61.0,12.0,45.0,25.0,12.0,0.0,81.0,84.0,21,7,37,15,34
792,11.0,25.0,14.0,20.0,0.0,6.0,2.0,47.0,31.0,4,3,0,0,34
793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
802,13.0,129.0,27.0,55.0,40.0,0.0,0.0,130.0,134.0,14,6,0,102,87
803,9.0,8.0,0.0,1.0,1.0,1.0,0.0,18.0,2.0,0,1,0,0,7
805,10.0,42.0,23.0,21.0,5.0,13.0,0.0,66.0,48.0,28,5,24,9,24
810,18.0,72.0,8.0,24.0,7.0,2.0,1.0,95.0,37.0,5,4,0,0,74
818,2.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,0,1,0,4,0
819,3.0,17.0,0.0,14.0,12.0,0.0,0.0,19.0,27.0,6,3,0,10,17
820,28.0,54.0,13.0,33.0,0.0,43.0,6.0,135.0,42.0,21,5,21,3,25
821,40.0,112.0,34.0,68.0,33.0,1.0,0.0,160.0,128.0,23,12,29,1,120
825,29.0,138.0,36.0,63.0,41.0,1.0,1.0,124.0,185.0,16,5,81,63,66
827,13.0,52.0,13.0,1.0,2.0,1.0,2.0,71.0,13.0,2,3,0,0,64
